beta=15,beta=17,beta=20
0.005682945669174098,0.0031401246123770226,0.0012687016654950366
0.007809396425561293,0.004615158793316671,0.0020837569762811466
0.015176002961042724,0.01043333372261038,0.005924263081608763
0.024715575471732882,0.018597852668774915,0.012198909225668455
0.0335103181707929,0.02679743151778086,0.019150548965229337
0.0414035940911837,0.03400022506497303,0.02574309722209047
0.04816638302035764,0.04052893672542241,0.03179532479209888
0.05188808372810726,0.04436337917301703,0.03566207180580374
0.053432286462126,0.046155781332111886,0.03738579738454381
0.05726613446563138,0.04992770508124033,0.04110675157646834
0.058877145355707323,0.05191866585597782,0.043117254487291784
0.05939378881624389,0.05398579118969944,0.04520528683504068
0.05892335646908505,0.05598054310955022,0.04751793800320189
0.05778222532656805,0.05693504835770874,0.04999277936993248
0.05652000496217989,0.056584461376238224,0.0530459354030665
0.054796761080163715,0.05517937825058609,0.05492287500705448
0.05160439348688161,0.052465747081989575,0.05333898516489433
0.04406559861411681,0.04538997668992052,0.046985020743459935
0.02946593136421593,0.029147856857867423,0.029104017564477447
0.015276728380387404,0.013820014822304745,0.011867845769193175
0.007354116095658026,0.006061102121616781,0.004416073115402915
